NAME1,HEX1,HEX1a,NAME2,HEX2,HEX2a,RATIO,CODE
Temptress,#440615,#6d0a22,Golden Grass,#D0A405,#ffff08,7,AAA
Cocoa Brown,#261B18,#3d2b26,Green,#14A470,#20ffb3,5.2,AA
Jagger,#2A0A56,#43108a,Terracotta,#DB7261,#ffb69b,5.2,AA
Monza,#BD021C,#ff032d,Harlequin,#4DFA05,#7bff08,4.7,AA
Limed Spruce,#38424B,#5a6a78,Caribbean Green,#1CF6AB,#2dffff,7.2,AAA
Purple Heart,#7936E4,#c256ff,Golden Fizz,#EDF237,#ffff58,5,AA
Madison,#152E6B,#224aab,Foam,#D6FEFD,#ffffff,11.9,AAA
Dark Blue,#0513C5,#081eff,Olive Green,#ACAC44,#ffff6d,4.6,AA
Arapawa,#050A5E,#081096,Hopbush,#DC68A2,#ffa6ff,5.4,AA
Black,#161326,#231e3d,Deep Blush,#DF719B,#ffb5f8,6,AA
Blumine,#19506A,#2880aa,Seagull,#6CD1FA,#adffff,5.1,AA
Stromboli,#22614F,#369b7e,Prelude,#D3CAE8,#ffffff,4.6,AA
Black Russian,#000220,#000333,Navy Blue,#2377D8,#38beff,4.6,AA
Black Russian,#1D021D,#2e032e,San Marino,#5C7DC3,#93c8ff,4.8,AA
Aubergine,#3C0C1A,#60132a,Jordy Blue,#7AC0FB,#c3ffff,8.5,AAA
Eminence,#662C6C,#a346ad,Emerald,#32CF77,#50ffbe,4.8,AA
Plum,#9B2E7C,#f84ac6,Green Yellow,#9DF810,#fbff1a,5.2,AA
Dune,#37322D,#585048,Earls Green,#BBB71E,#ffff30,6,AA
Blue,#1901EB,#2802ff,Wax Flower,#EFBA9D,#fffffb,5.4,AA
Honey Flower,#4A1F6E,#7632b0,Pear,#C3DD2A,#ffff43,8,AAA
Jaguar,#0E000E,#160016,Chestnut,#C25349,#ff8575,4.5,AA
Plum,#97467B,#f270c5,Sulu,#CFF67B,#ffffc5,4.9,AA
Green House,#1B5311,#2b851b,Conifer,#A4DE41,#ffff68,5.7,AA
Night Rider,#1C0B05,#2d1208,Deep Blush,#DA738A,#ffb8dd,6.2,AA
Stratos,#0E1048,#161a73,Dusty Gray,#A08C8F,#ffe0e5,5.6,AA
Mirage,#131E31,#1e304e,Patina,#63968C,#9ef0e0,5,AA
Finn,#702E54,#b34a86,Chartreuse,#7CF109,#c6ff0e,6.5,AA
Plum,#84286D,#d340ae,Chartreuse,#6CE103,#adff05,5,AA
Marshland,#0C0D05,#131508,Rum,#887797,#dabef2,4.8,AA
Sapphire,#2E52A6,#4a83ff,Granny Smith Apple,#87EEAB,#d8ffff,5.2,AA
Cioccolato,#56260A,#8a3d10,Forest Green,#6EAC78,#b0ffc0,4.7,AA
Blue Gem,#101D95,#1a2eee,Apple,#50B555,#80ff88,5,AA
Black,#090000,#0e0000,Steel Blue,#487EA8,#73caff,4.8,AA
Scarlet Gum,#3E0C5D,#631395,Onahau,#C5EEF9,#ffffff,12,AAA
English Walnut,#432E25,#6b4a3b,Vista Blue,#96CFB4,#f0ffff,7.2,AAA
Cannon Black,#261904,#3d2806,Green,#009F72,#00feb6,5.1,AA
Tolopea,#170246,#250370,Red Damask,#CC5B3B,#ff925e,4.5,AA
Jaguar,#1A0214,#2a0320,Blue Ribbon,#6A67F4,#aaa5ff,4.6,AA
Dark Tan,#5F1004,#981a06,Persian Pink,#E86DB7,#ffaeff,4.7,AA
Black,#191124,#281b3a,Navy Blue,#1C84DF,#2dd3ff,4.7,AA
Vivid Violet,#7E2F8F,#ca4be5,Manz,#F7F47C,#ffffc6,6.8,AA
Voodoo,#472A49,#724375,Periwinkle,#C1C1F7,#ffffff,7.2,AAA
Bordeaux,#600621,#9a0a35,Gumbo,#86ABB0,#d6ffff,5.5,AA
Deep Cove,#07154B,#0b2278,Java,#2CB0AF,#46ffff,6.5,AA
Roman Coffee,#826156,#d09b8a,Iceberg,#CEF1EF,#ffffff,4.6,AA
Goblin,#3C8056,#60cd8a,Half And Half,#FBFDDD,#ffffff,4.6,AA
Cod Gray,#0A0706,#100b0a,Coral Tree,#B06B71,#ffabb5,5,AA
Gondola,#210513,#35081e,Pink Flamingo,#CF35D1,#ff55ff,4.6,AA
Thatch Green,#423F1F,#6a6532,Cream Can,#FBC864,#ffffa0,6.9,AA
Log Cabin,#232822,#384036,Persian Green,#17A399,#25fff5,4.8,AA
Kingfisher Daisy,#3D0282,#6203d0,Muddy Waters,#BA936A,#ffebaa,4.9,AA
Violet Eggplant,#BE09CA,#ff0eff,Laser Lemon,#FCFD7E,#ffffca,4.8,AA
Sanguine Brown,#8C3B38,#e05e5a,Algae Green,#78E1B5,#c0ffff,4.7,AA
Guardsman Red,#D51505,#ff2208,Gallery,#EDEFEF,#ffffff,4.6,AA
Fern Green,#42703A,#6ab35d,Skeptic,#D3EDDD,#ffffff,4.7,AA
Tapestry,#A45A76,#ff90bd,Shalimar,#FBFFBB,#ffffff,4.7,AA
Lucky Point,#161961,#23289b,Brandy Rose,#BB867F,#ffd6cb,5.1,AA
Catalina Blue,#112F86,#1b4bd6,Shocking,#EE8FBE,#ffe5ff,5.2,AA
Sepia Black,#23020D,#380315,Trendy Green,#799019,#c2e628,5.4,AA
Blue Gem,#2E22A4,#4a36ff,Can Can,#E59EAD,#fffdff,5.2,AA
Sangria,#A50312,#ff051d,Yellow Green,#CAEB84,#ffffd3,6,AA
Heath,#56110F,#8a1b18,Chateau Green,#36B058,#56ff8d,5.1,AA
Pompadour,#6B0459,#ab068e,Turquoise,#34DDD7,#53ffff,7,AA
Teal Blue,#024361,#036b9b,Pastel Green,#8FDD75,#e5ffbb,6.5,AA
Cerise Red,#DA2261,#ff369b,Bubbles,#E7FEFF,#ffffff,4.6,AA
Haiti,#130C2E,#1e134a,Fern,#61B05C,#9bff93,7,AAA
Revolver,#230619,#380a28,Burnt Sienna,#E5805E,#ffcd96,6.8,AA
Midnight,#0B1734,#122553,Amethyst,#9B6BCC,#f8abff,4.5,AA
Revolver,#2E0F2D,#4a1848,Razzmatazz,#FD3979,#ff5bc2,4.9,AA
Purple Heart,#6E00B3,#b000ff,Mauve,#D0ACF8,#ffffff,4.7,AA
Fern Frond,#677A2B,#a5c345,Black Squeeze,#F5FDFD,#ffffff,4.6,AA
Aztec,#142423,#203a38,Christi,#57A124,#8bff3a,5,AA
Gondola,#200B09,#33120e,Mojo,#CF5947,#ff8e72,4.6,AA
Cod Gray,#080A08,#0d100d,Mulberry,#C45295,#ff83ee,4.7,AA
Mulberry,#B34684,#ff70d3,Caper,#DFFBC0,#ffffff,4.5,AA
Blue Zodiac,#11264D,#1b3d7b,La Rioja,#B0C115,#ffff22,7.4,AAA
Celtic,#14281C,#20402d,Fruit Salad,#5EA767,#96ffa5,5.3,AA
Blue Gem,#3A088A,#5d0ddd,Cerulean,#3AC4EE,#5dffff,6.5,AA
Cedar,#311100,#4e1b00,Bazaar,#9D7A83,#fbc3d2,4.6,AA
International Klein Blue,#212BAA,#3545ff,Feijoa,#9ED473,#fdffb8,6.1,AA
Seance,#7E339A,#ca52f6,Tidal,#EAF5AB,#ffffff,6.4,AA
Elephant,#052D41,#084868,Pacific Blue,#2FAED0,#4bffff,5.5,AA
Cab Sav,#490818,#750d26,Mindaro,#D3EB7C,#ffffc6,12,AAA
Black Olive,#1F290A,#324210,Foggy Gray,#CBCFBC,#ffffff,9.6,AAA
Blackberry,#5A1546,#902270,Malachite,#10C44A,#1aff76,5.5,AA
Monza,#C41519,#ff2228,Willow Brook,#D7E5D6,#ffffff,4.6,AA
Vivid Violet,#85237F,#d538cb,Bitter Lemon,#C6DC04,#ffff06,5.4,AA
Fuscous Gray,#5A594E,#908e7d,Fuego,#BFE62D,#ffff48,4.9,AA
Dark Blue,#241EDC,#3a30ff,Porsche,#F2BC76,#ffffbd,5.3,AA
Woodsmoke,#070C0E,#0b1316,Cerise,#DF529E,#ff83fd,5.5,AA
Temptress,#3F0011,#65001b,Wild Strawberry,#FD44A9,#ff6dff,5.4,AA
Haiti,#170E31,#25164e,Fuchsia Pink,#C85DD3,#ff95ff,5.2,AA
Vulcan,#1B171E,#2b2530,Pacific Blue,#0FAED0,#18ffff,6.7,AA
Midnight,#071733,#0b2552,Gothic,#6A8997,#aadbf2,4.8,AA
Studio,#5643A9,#8a6bff,Key Lime Pie,#C4D42A,#ffff43,4.6,AA
Cinder,#120B17,#1d1225,Fern,#5BBA78,#92ffc0,8,AAA
Melanzane,#2B082A,#450d43,Fuchsia,#B461CA,#ff9bff,4.7,AA
Van Cleef,#4D150E,#7b2216,Havelock Blue,#2F96E5,#4bf0ff,4.6,AA
Dark Blue,#390DCE,#5b15ff,Perano,#9CB7E2,#faffff,4.8,AA
Melanzane,#26001D,#3d002e,Raw Sienna,#E17D44,#ffc86d,6.6,AA
Red Violet,#D41987,#ff28d8,Rice Flower,#EEFCE2,#ffffff,4.6,AA
Sepia Black,#26010E,#3d0216,Red Violet,#E5339F,#ff52fe,4.9,AA
Woodsmoke,#0A0B11,#10121b,Forest Green,#268E32,#3de350,4.7,AA
Sepia Black,#2D0600,#480a00,Leather,#9D7B5D,#fbc595,4.8,AA
Jaguar,#07000F,#0b0018,Lochmara,#217CC5,#35c6ff,4.7,AA
Daisy Bush,#521E94,#8330ed,Ripe Lemon,#F2D708,#ffff0d,7.4,AAA
Revolver,#210C29,#351342,Outrageous Orange,#F96440,#ffa066,6,AA
Congress Blue,#15438A,#226bdd,Tower Gray,#9FB8B9,#feffff,4.6,AA
Purple Heart,#5D2BB7,#9545ff,Riptide,#78FBFA,#c0ffff,6.8,AA
Deep Blue,#09006F,#0e00b2,Apple,#29A62B,#42ff45,5.3,AA
Purple,#750DA9,#bb15ff,Screamin Green,#3FE974,#65ffba,5.5,AA
Holly,#081B06,#0d2b0a,Lochinvar,#438C87,#6be0d8,4.6,AA
Coffee Bean,#2A140D,#432015,Monte Carlo,#86C6B0,#d6ffff,8.9,AAA
Bordeaux,#610A29,#9b1042,La Rioja,#B5C614,#ffff20,7,AA
Stratos,#000C48,#001373,Electric Lime,#21F826,#35ff3d,12.7,AAA
Buccaneer,#602B2F,#9a454b,Celery,#B0C85C,#ffff93,6,AA
Cadillac,#AD4C6B,#ff7aab,Candy Corn,#FFF765,#ffffa2,4.7,AA
Flirt,#93087A,#eb0dc3,Salomie,#F2D686,#ffffd6,5.8,AA
Venice Blue,#275682,#3e8ad0,Yellow Green,#B9D465,#ffffa2,4.6,AA
Jaguar,#040115,#060222,Amaranth,#DE3249,#ff5075,4.6,AA
Pompadour,#680245,#a6036e,Dull Lavender,#A694EF,#ffedff,4.8,AA
Bahama Blue,#2F6B9A,#4babf6,Gossip,#DAF9B1,#ffffff,4.9,AA
Purple Heart,#4E11B5,#7d1bff,Yellow Green,#D3EB87,#ffffd8,7.7,AAA
Blue,#3509F7,#550eff,Emerald,#62DA82,#9dffd0,4.7,AA
Palm Leaf,#1C380B,#2d5a12,Half Baked,#86C6CC,#d6ffff,6.8,AA
Ripe Plum,#48085D,#730d95,Rio Grande,#B0C808,#ffff0d,7.6,AAA
Violet Eggplant,#A3019E,#ff02fd,Sunflower,#E1D831,#ffff4e,4.6,AA
Wine Berry,#512338,#82385a,Jungle Green,#53BD9B,#85fff8,5.5,AA
Violet Eggplant,#AE25C8,#ff3bff,Pale Prim,#F8F4B2,#ffffff,4.8,AA
Jagger,#36094B,#560e78,Bittersweet,#FD7E7B,#ffcac5,6.5,AA
Seance,#861B8C,#d62be0,Olivine,#9ECD88,#fdffda,4.5,AA
Affair,#5F3F7D,#9865c8,Caper,#C1DBA1,#ffffff,5.6,AA
Persian Blue,#0C46D2,#1370ff,Las Palmas,#D2EA0C,#ffff13,5.5,AA
Black,#020117,#030225,Razzle Dazzle Rose,#D519AF,#ff28ff,4.5,AA
Clairvoyant,#591A5C,#8e2a93,Iron,#CCD1D2,#ffffff,7.9,AAA
Green Leaf,#49740E,#75ba16,Picasso,#FEF199,#fffff5,4.8,AA
Haiti,#0E042A,#160643,Olivine,#B5CB82,#ffffd0,11.1,AAA
Pine Green,#297F77,#42cbbe,Corn Field,#F9FDCE,#ffffff,4.5,AA
Mulberry Wood,#630C3C,#9e1360,Malachite,#21B319,#35ff28,4.6,AA
Loulou,#41063E,#680a63,New York Pink,#D58283,#ffd0d2,5.6,AA
Dark Blue,#3A33FD,#5d52ff,Yellow,#F4FC01,#ffff02,6.1,AA
Black,#030316,#050523,Brick Red,#CE455C,#ff6e93,4.5,AA
Valhalla,#1E1953,#302885,Electric Lime,#34E929,#53ff42,9.7,AAA
Christalle,#420469,#6a06a8,Cornflower Blue,#0A98F1,#10f3ff,4.7,AA
Tall Poppy,#BA3530,#ff554d,Lemon,#FCEA26,#ffff3d,4.7,AA
Jacksons Purple,#352B98,#5545f3,Sunglow,#FCCD28,#ffff40,7.1,AAA
Cerise,#D22C7B,#ff46c5,Apricot White,#F9FDEB,#ffffff,4.6,AA
Plum,#7D146C,#c820ad,Pistachio,#99C025,#f5ff3b,4.5,AA
Eminence,#6B2585,#ab3bd5,Lima,#84DF3F,#d3ff65,5.7,AA
Palm Leaf,#0C3511,#13551b,Earls Green,#BEBA2E,#ffff4a,6.7,AA
Venice Blue,#165B8E,#2392e3,Pastel Green,#87EE79,#d8ffc2,5,AA
Violet Eggplant,#B02DAB,#ff48ff,Manz,#F6F484,#ffffd3,4.8,AA
Science Blue,#2466D0,#3aa3ff,Honeysuckle,#DDFC71,#ffffb5,4.7,AA
Revolver,#2A0F2C,#431846,Hot Magenta,#E912CE,#ff1dff,4.5,AA
Dark Blue,#1441F4,#2068ff,Mint Green,#5CFFB2,#93ffff,5.3,AA
Dark Blue,#091CCA,#0e2dff,Riptide,#66ECE5,#a3ffff,7.2,AAA
Ultramarine,#0511AA,#081bff,Picton Blue,#5FAFE6,#98ffff,5.3,AA
Hippie Pink,#9C3D58,#fa628d,Yellow Green,#CDF28E,#ffffe3,5.2,AA
Fuchsia Blue,#7E5DD9,#ca95ff,Spring Sun,#F5FEE0,#ffffff,4.5,AA
Blue Ribbon,#0B47E5,#1272ff,Aquamarine,#2AFACC,#43ffff,5.1,AA
Hibiscus,#BA2E70,#ff4ab3,Lime,#C0FF02,#ffff03,4.7,AA
Cannon Pink,#97486D,#f273ae,Lime,#B6F204,#ffff06,4.5,AA
Nero,#170600,#250a00,Dodger Blue,#017DE8,#02c8ff,4.8,AA
Purple Heart,#5713B6,#8b1eff,Aquamarine,#89FFCB,#dbffff,7.9,AAA
Clairvoyant,#370046,#580070,Alizarin Crimson,#F63F48,#ff6573,4.6,AA
Bossanova,#552B57,#88458b,Lima,#79BC16,#c2ff23,4.8,AA
Shocking Pink,#D506AD,#ff0aff,Sugar Cane,#F8FDF1,#ffffff,4.6,AA
Dark Blue,#180FB6,#2618ff,Apple,#58C54E,#8dff7d,5.3,AA
Ultramarine,#0C03A0,#1305ff,Curious Blue,#27A3DC,#3effff,4.8,AA
Solid Pink,#7F3843,#cb5a6b,Green Yellow,#93F646,#ebff70,6.1,AA
Honey Flower,#5E1674,#9623ba,Acapulco,#7DBCA9,#c8ffff,5.2,AA
Pigment Indigo,#4F148E,#7e20e3,Golden Dream,#F1CD29,#ffff42,7.4,AAA
Midnight Blue,#004477,#006dbe,Malibu,#78C9FF,#c0ffff,5.5,AA
Teal Blue,#103F54,#1a6586,Fountain Blue,#5ABAC1,#90ffff,5,AA
Pine Tree,#0D1D08,#152e0d,Breaker Bay,#509B97,#80f8f2,5.4,AA
Violet,#290139,#42025b,Persian Pink,#FF84C2,#ffd3ff,8.1,AAA
Cherry Pie,#2C055E,#460896,Heliotrope,#BF5AF1,#ff90ff,4.6,AA
Salt Box,#69606B,#a89aab,Hint Of Green,#E6FFEC,#ffffff,5.7,AA
Maroon,#AC164A,#ff2376,Reef,#C5FA97,#fffff2,5.9,AA
Purple Heart,#9E4FCD,#fd7eff,Narvik,#F3FEF7,#ffffff,4.6,AA
Stratos,#0B043E,#120663,Pink,#EFB2B6,#ffffff,10.6,AAA
Dark Blue,#3A11DF,#5d1bff,Barberry,#D5D61A,#ffff2a,5.8,AA
Green Waterloo,#16160E,#232316,Cinnabar,#EB4432,#ff6d50,4.7,AA
Minsk,#322D85,#5048d5,Puerto Rico,#43BFAC,#6bffff,5,AA
Dark Blue,#3120E4,#4e33ff,Putty,#DEC47D,#ffffc8,5,AA
Seance,#641283,#a01dd2,Shamrock,#5CE1A4,#93ffff,6.5,AA
Dark Blue,#5D05D3,#9508ff,Inch Worm,#AEED5D,#ffff95,6.2,AA
Blue Dianne,#08424D,#0d6a7b,Caribbean Green,#2EE4B1,#4affff,6.8,AA
Ultramarine,#02048D,#0306e2,Persian Pink,#EC6DA3,#ffaeff,5.2,AA
Catalina Blue,#212B75,#3545bb,Chatelle,#ADAAC2,#ffffff,5.6,AA
Midnight Blue,#0B4877,#1273be,Aquamarine,#68F7B1,#a6ffff,7,AAA
Valentino,#351440,#552066,Forest Green,#07A127,#0bff3e,4.6,AA
Cedar,#391C16,#5b2d23,Olive,#90900E,#e6e616,4.6,AA
Totem Pole,#991406,#f5200a,Mint Tulip,#CAF8E7,#ffffff,7.4,AAA
Loulou,#430937,#6b0e58,Hopbush,#CA7BBA,#ffc5ff,5.3,AA
Black,#040006,#06000a,Rock Spray,#C75021,#ff8035,4.6,AA
Black,#0A081C,#100d2d,Medium Purple,#B17EF7,#ffcaff,6.8,AA
Deep Cove,#080A3D,#0d1062,Fuchsia,#B75BAB,#ff92ff,4.5,AA
Daisy Bush,#5729A0,#8b42ff,Green Yellow,#87E000,#d8ff00,5.7,AA
Blue Gem,#3820A6,#5a33ff,Pink Flare,#E5BEC6,#ffffff,6.5,AA
Fresh Eggplant,#8F1875,#e526bb,Mindaro,#CCE66C,#ffffad,5.9,AA
Gulf Blue,#0F1550,#182280,Jordy Blue,#9CBDFE,#faffff,8.9,AAA
Purple,#8915B1,#db22ff,Sulu,#B9E773,#ffffb8,5.3,AA
Gable Green,#213B39,#355e5b,Citron,#A3AF36,#ffff56,5,AA
Minsk,#31236C,#4e38ad,Shadow Green,#8BC4BA,#deffff,6.7,AA
Scorpion,#6E5E66,#b096a3,Hint Of Green,#DEFAE3,#ffffff,5.5,AA
Valentino,#400A48,#661073,Wild Willow,#BCD17E,#ffffca,9.3,AAA
Gulf Blue,#101054,#1a1a86,Razzle Dazzle Rose,#F751C5,#ff82ff,5.7,AA
Jaguar,#0D030B,#150512,Cabaret,#D04467,#ff6da5,4.5,AA
Black Rose,#6F1839,#b2265b,Malachite,#2ECA4C,#4aff7a,5.2,AA
Violent Violet,#1D0756,#2e0b8a,Java,#24C8C7,#3affff,8.3,AAA
Violet Eggplant,#A807C0,#ff0bff,Humming Bird,#C7F2F1,#ffffff,5,AA
Cherry Pie,#24035A,#3a0590,Picton Blue,#49AFEC,#75ffff,7,AA
Violet,#1D0E48,#2e1673,Olive Drab,#639439,#9eed5b,4.8,AA
Woodsmoke,#0B050A,#120810,Purple Heart,#9E49FC,#fd75ff,4.6,AA
Blue Dianne,#2A535A,#438590,Caribbean Green,#4DF2BA,#7bffff,5.9,AA
Jaguar,#11000E,#1b0016,Opium,#946D6F,#edaeb2,4.5,AA
Meteorite,#4A287F,#7640cb,Sahara,#B6AA02,#ffff03,4.6,AA
Tolopea,#210D50,#351580,Malachite,#51DF5D,#82ff95,9.7,AAA
Tolopea,#0C0147,#130272,Eucalyptus,#429064,#6ae6a0,4.9,AA
Valhalla,#281D51,#402e82,Ottoman,#EBF9ED,#ffffff,13.9,AAA
Camouflage,#2F3208,#4b500d,Malachite,#62DB4D,#9dff7b,7.4,AAA
Rust,#B83F18,#ff6526,Corn Field,#F7FCCD,#ffffff,5.3,AA
Violet,#21053D,#350862,Ship Cove,#6484B5,#a0d3ff,4.8,AA
Lucky Point,#0A1A68,#102aa6,Magenta,#E958A3,#ff8dff,4.7,AA
Clairvoyant,#590E59,#8e168e,Magic Mint,#9BE8D1,#f8ffff,9.1,AAA
Madison,#16275F,#233e98,Mountain Meadow,#09AD82,#0effd0,4.9,AA
Midnight Moss,#030F07,#05180b,Royal Blue,#5170EB,#82b3ff,4.5,AA
Paua,#2B0362,#45059d,Caribbean Green,#3BF6BF,#5effff,11.7,AAA
Lucky Point,#001367,#001ea5,Chateau Green,#0DA459,#15ff8e,5,AA
Persian Blue,#1B46DA,#2b70ff,Bright Green,#51EC02,#82ff03,4.5,AA
Eggplant,#694F6C,#a87ead,Inch Worm,#CEF960,#ffff9a,5.9,AA
Tall Poppy,#AF091B,#ff0e2b,Sulu,#B6E86E,#ffffb0,5.1,AA
Dark Fern,#0C3A02,#135d03,Bird Flower,#DCD127,#ffff3e,8.1,AAA
Deep Koamaru,#211175,#351bbb,Puerto Rico,#4DD1B6,#7bffff,7.9,AAA
Governor Bay,#083FB8,#0d65ff,Caribbean Green,#28EBA2,#40ffff,5.6,AA
Martinique,#412F4F,#684b7e,Lima,#7AD51F,#c3ff32,6.5,AA
Resolution Blue,#232380,#3838cd,Jaffa,#F28A43,#ffdd6b,5.2,AA
Violet,#29103E,#421a63,Cream Can,#ECBD58,#ffff8d,9.7,AAA
Bilbao,#2C8421,#46d335,Sugar Cane,#F7FFF6,#ffffff,4.6,AA
Finlandia,#546E5A,#86b090,Beryl Green,#E2EDC5,#ffffff,4.6,AA
Black Olive,#1C2D16,#2d4823,Shamrock,#39D9B1,#5bffff,8.2,AAA
Valentino,#2D013C,#480260,Jungle Green,#239E76,#38fdbd,5.3,AA
Tamarind,#2B100F,#451a18,Malachite,#1CC608,#2dff0d,7.7,AAA
Monza,#CC1620,#ff2333,Chartreuse Yellow,#E9FF02,#ffff03,5.1,AA
Windsor,#461377,#701ebe,Screamin Green,#7BF276,#c5ffbd,9.1,AAA
Violent Violet,#210E5E,#351696,True V,#907DE2,#e6c8ff,4.8,AA
Armadillo,#453F39,#6e655b,Emerald,#62E493,#9dffeb,6.4,AA
Seance,#79127F,#c21dcb,Green Yellow,#A5F42D,#ffff48,7.1,AAA
Merlot,#851027,#d51a3e,Surf Crest,#CFE9D4,#ffffff,7.7,AAA
Asphalt,#120F0C,#1d1813,Laurel,#6E896D,#b0dbae,5,AA
Black,#010109,#02020e,Rouge,#B95383,#ff85d2,4.6,AA
Clairvoyant,#511463,#82209e,Olive Green,#C0C076,#ffffbd,6.8,AA
Purple Heart,#7242DC,#b66aff,Tea Green,#CFEBBA,#ffffff,4.6,AA
Governor Bay,#1152D0,#1b83ff,Jagged Ice,#C6F0ED,#ffffff,5.4,AA
Purple Heart,#970BD5,#f212ff,Mint Green,#A9FC81,#ffffce,5.1,AA
Toledo,#3C0821,#600d35,Sandal,#A98764,#ffd8a0,5.1,AA
Deep Cove,#071546,#0b2270,Christi,#79AF1D,#c2ff2e,6.6,AA
Blue Whale,#122B48,#1d4573,Cerulean,#1BACD2,#2bffff,5.4,AA
Biscay,#282B58,#40458d,Chateau Green,#4DB05D,#7bff95,4.9,AA
Bronze Olive,#534300,#856b00,Electric Lime,#10F001,#1aff02,6.2,AA
Gondola,#210713,#350b1e,Heliotrope,#D553E4,#ff85ff,5.6,AA
Dark Blue,#431EC7,#6b30ff,Olivine,#B5D38C,#ffffe0,5.6,AA
Black Russian,#000320,#000533,Vida Loca,#50871E,#80d830,4.7,AA
Vivid Violet,#95599D,#ee8efb,Golden Fizz,#FEFF48,#ffff73,4.7,AA
Tom Thumb,#3C604A,#609a76,Turquoise Blue,#4DE1FA,#7bffff,4.5,AA
Blue Gem,#3B0688,#5e0ada,Picton Blue,#23ABE1,#38ffff,5.1,AA
Disco,#8E0154,#e30286,Aquamarine,#6FF0C5,#b2ffff,6.5,AA
Dallas,#744F2D,#ba7e48,Pastel Green,#2CEF93,#46ffeb,4.8,AA
Shiraz,#AF052D,#ff0848,Golden Dream,#E8CE3A,#ffff5d,4.6,AA
Hibiscus,#BE3169,#ff4ea8,Aero Blue,#BAFBDF,#ffffff,4.7,AA
Mondo,#423428,#6a5340,Lightning Yellow,#ECB205,#ffff08,6.2,AA
Violent Violet,#0A095B,#100e92,Perfume,#C6AFDE,#ffffff,8.8,AAA
